VehicleID,Amount (Million Naira)
VHL18518,3.8232249692275397
VHL17149,5.6870373019141365
VHL10927,4.277915238659468
VHL12909,4.783477818358477
VHL12348,7.988618604485175
VHL10798,33.161589825741935
VHL11022,3.1938629605060624
VHL12206,6.283512922432596
VHL11697,9.994378477643023
VHL12313,5.71553946814388
VHL13411,25.179423601875413
VHL14334,4.148069118072629
VHL14302,5.347454389949582
VHL13979,3.878416952590712
VHL12272,1.9993974908488097
VHL15071,6.310632119350954
VHL19166,6.182313043447414
VHL10471,3.161499509922009
VHL18431,2.862045041353372
VHL12325,8.864615296350625
VHL15657,6.249567849266233
VHL13667,20.904903064250245
VHL18913,6.407113452176951
VHL13273,4.419369757850235
VHL16576,1.0918604752980667
VHL15506,3.3080581628005796
VHL10460,77.67547598909633
VHL16050,4.041151926677382
VHL17918,5.039316747584889
VHL12992,6.351937793627096
VHL10261,10.510058536401546
VHL18348,6.8114532247358
VHL11577,6.182204871382745
VHL16957,1.5358468026166499
VHL16165,17.103754845322932
VHL11441,5.672463904268633
VHL19990,3.3842624641223393
VHL14072,4.482967130580947
VHL13637,2.441519138300229
VHL10757,16.012499968542983
VHL12657,12.306031690516651
VHL19939,15.17670311736918
VHL12094,12.235787525373722
VHL17177,3.3313339355574496
VHL16720,14.770947664397122
VHL11478,35.66338674796007
VHL14386,12.174734043454434
VHL11341,8.340808776181948
VHL18683,4.975444660058705
VHL13430,24.295928101716697
VHL18932,3.365795125256286
VHL17505,7.946845090429844
VHL16272,4.312210230842021
VHL14777,4.995197574385267
VHL13186,8.483863683757724
VHL19383,1.6189959350745065
VHL14605,11.53528088268971
VHL11440,21.064898569593325
VHL14303,13.831008605344076
VHL19478,5.247817087911349
VHL17837,3.7700694473193495
VHL12824,4.276205564537759
VHL17476,4.802639850728122
VHL18988,1.9993974908488097
VHL19482,7.413869196077941
VHL13263,3.561070635460758
VHL17078,13.935993336156569
VHL19170,-1.4541502061351457
VHL18070,3.784821569102232
VHL18061,13.292067836092766
VHL10726,2.3853368296195736
VHL19212,5.040841065947554
VHL13283,3.172400085462809
VHL14023,4.386161621486426
VHL16973,49.22024451652006
VHL19653,17.279768816379725
VHL18605,14.820832698318847
VHL13287,11.692721342767765
VHL15719,2.804210384546292
VHL19636,7.493704100704928
VHL11009,12.79725952206337
VHL18087,3.1498985847308747
VHL14422,5.460831462157515
VHL15789,39.25174178593161
VHL12369,4.623442844278437
VHL15812,5.354455019219246
VHL18767,248.18738818496143
VHL19271,24.03304920050979
VHL17403,3.5216625141564304
VHL12967,3.738125298294716
VHL19998,10.043515859897173
VHL12336,4.029775472426948
VHL10328,2.7432687699885183
VHL18908,2.403922931591631
VHL11127,5.76128477959283
VHL12655,14.199636415903706
VHL19086,88.5915946374396
VHL10384,9.132365576634752
VHL15712,14.255419541327278
VHL11054,20.62451840112201
VHL16505,3.8368707989963435
VHL10534,2.1724337860321974
VHL14120,3.2544073660912045
VHL10206,6.080859993251321
VHL13595,12.427232390909476
VHL15887,5.856962131902045
VHL12672,4.639417667291138
VHL19770,6.462967407271217
VHL13026,11.206782612752974
VHL12635,7.435454243631382
